2021-12-11 22:12:65 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:455 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:778 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:128 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (2d840807f6742d20b266cd551236f490)] -> link text: Log in]
2021-12-11 22:12:371 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:718 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (02401695e4c07728aa263dfc277b89b5)] -> link text: Log in]
2021-12-11 23:12:851 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:167 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (adf6c2aef4c7e2e7bef3c0a12aea0756)] -> link text: Log in]
2021-12-11 23:12:775 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:259 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3a8ec86c31e2c5601cc683e35e94e690)] -> link text: Log in]
2021-12-11 23:12:654 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:67 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b03b43b5c910372a7c52a6be2164ca9d)] -> link text: Log in]
2021-12-11 23:12:682 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 23:12:747 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (93f289279d088957c05e331441c92ca6)] -> link text: Log in]
2021-12-12 00:12:935 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 00:12:355 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d5615b414deb304e92c327c09a5c295a)] -> link text: Log in]
2021-12-12 00:12:960 INFO  ManageDriver :30 - Launching Chrome Browser
