2021-12-12 13:12:784 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:240 INFO  HomePage :45 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (34ca4c39672012b4603be52eeafdda5b)] -> link text: Register]
2021-12-12 13:12:855 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:672 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (fa2a747199df8f4cb22b14917c9be14b)] -> link text: Log in]
2021-12-12 13:12:727 INFO  LoginPage :46 - Entering Email: [[ChromeDriver: chrome on WINDOWS (fa2a747199df8f4cb22b14917c9be14b)] -> id: Email]
2021-12-12 13:12:772 INFO  LoginPage :51 - Entering Password: [[ChromeDriver: chrome on WINDOWS (fa2a747199df8f4cb22b14917c9be14b)] -> name: Password]
2021-12-12 13:12:110 INFO  LoginPage :56 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (fa2a747199df8f4cb22b14917c9be14b)] -> xpath: //button[contains(text(),'Log in')]]
2021-12-12 13:12:136 INFO  LoginPage :61 - Verifying Error message : [[ChromeDriver: chrome on WINDOWS (fa2a747199df8f4cb22b14917c9be14b)] -> xpath: //div[@class='message-error validation-summary-errors']]
2021-12-12 13:12:721 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:753 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1e29955d7749d9fa5d15733dcebfc33b)] -> link text: Log in]
2021-12-12 13:12:801 INFO  LoginPage :46 - Entering Email: [[ChromeDriver: chrome on WINDOWS (1e29955d7749d9fa5d15733dcebfc33b)] -> id: Email]
2021-12-12 13:12:845 INFO  LoginPage :51 - Entering Password: [[ChromeDriver: chrome on WINDOWS (1e29955d7749d9fa5d15733dcebfc33b)] -> name: Password]
2021-12-12 13:12:720 INFO  LoginPage :56 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (1e29955d7749d9fa5d15733dcebfc33b)] -> xpath: //button[contains(text(),'Log in')]]
2021-12-12 15:12:983 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 15:12:754 INFO  HomePage :45 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (1b3aac0f30f0694105ac671c08964dd3)] -> link text: Register]
2021-12-12 15:12:425 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 15:12:739 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ad56ab772bcab1136c621d48505bb988)] -> link text: Log in]
2021-12-12 15:12:815 INFO  LoginPage :46 - Entering Email: [[ChromeDriver: chrome on WINDOWS (ad56ab772bcab1136c621d48505bb988)] -> id: Email]
2021-12-12 15:12:892 INFO  LoginPage :51 - Entering Password: [[ChromeDriver: chrome on WINDOWS (ad56ab772bcab1136c621d48505bb988)] -> name: Password]
2021-12-12 15:12:840 INFO  LoginPage :56 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (ad56ab772bcab1136c621d48505bb988)] -> xpath: //button[contains(text(),'Log in')]]
2021-12-12 15:12:877 INFO  LoginPage :61 - Verifying Error message : [[ChromeDriver: chrome on WINDOWS (ad56ab772bcab1136c621d48505bb988)] -> xpath: //div[@class='message-error validation-summary-errors']]
2021-12-12 15:12:503 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 15:12:794 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc5f49fb9461a966a09058d0b8109323)] -> link text: Log in]
2021-12-12 15:12:877 INFO  LoginPage :46 - Entering Email: [[ChromeDriver: chrome on WINDOWS (dc5f49fb9461a966a09058d0b8109323)] -> id: Email]
2021-12-12 15:12:967 INFO  LoginPage :51 - Entering Password: [[ChromeDriver: chrome on WINDOWS (dc5f49fb9461a966a09058d0b8109323)] -> name: Password]
2021-12-12 15:12:980 INFO  LoginPage :56 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (dc5f49fb9461a966a09058d0b8109323)] -> xpath: //button[contains(text(),'Log in')]]
2021-12-14 17:12:917 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 17:12:719 INFO  HomePage :45 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (5db3d5c85bb42657c5337ef8bba261fc)] -> link text: Register]
2021-12-14 17:12:377 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 17:12:495 INFO  HomePage :45 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (5ada52b27e0fdf1eb04a2beaa6a50562)] -> link text: Register]
2021-12-14 17:12:554 INFO  RegisterPage :138 - Clicking on Register button: [[ChromeDriver: chrome on WINDOWS (5ada52b27e0fdf1eb04a2beaa6a50562)] -> id: register-button]
2021-12-14 17:12:586 INFO  RegisterPage :144 - Selecting Year for Data of Birth: [[ChromeDriver: chrome on WINDOWS (5ada52b27e0fdf1eb04a2beaa6a50562)] -> xpath: //select[@name='DateOfBirthYear']]
2021-12-14 17:12:610 INFO  RegisterPage :149 - Verifying Last Name required error message: [[ChromeDriver: chrome on WINDOWS (5ada52b27e0fdf1eb04a2beaa6a50562)] -> id: LastName-error]
2021-12-14 17:12:634 INFO  RegisterPage :154 - Verifying Email required error message: [[ChromeDriver: chrome on WINDOWS (5ada52b27e0fdf1eb04a2beaa6a50562)] -> id: Email-error]
2021-12-14 17:12:657 INFO  RegisterPage :159 - Verifying Password required error message: [[ChromeDriver: chrome on WINDOWS (5ada52b27e0fdf1eb04a2beaa6a50562)] -> id: Password-error]
2021-12-14 17:12:682 INFO  RegisterPage :164 - Verifying confirm password required error message: [[ChromeDriver: chrome on WINDOWS (5ada52b27e0fdf1eb04a2beaa6a50562)] -> id: ConfirmPassword-error]
2021-12-14 17:12:289 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 17:12:94 INFO  HomePage :45 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> link text: Register]
2021-12-14 17:12:139 INFO  RegisterPage :84 - Selecting Gender: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> xpath: //input[@name='Gender']]
2021-12-14 17:12:199 INFO  RegisterPage :89 - Entering First Name: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> id: FirstName]
2021-12-14 17:12:246 INFO  RegisterPage :94 - Entering Last name: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> id: LastName]
2021-12-14 17:12:313 INFO  RegisterPage :113 - Selecting Day for Date of Birth: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> xpath: //select[@name='DateOfBirthDay']]
2021-12-14 17:12:372 INFO  RegisterPage :118 - Selecting Month for Date of Birth: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> xpath: //select[@name='DateOfBirthMonth']]
2021-12-14 17:12:439 INFO  RegisterPage :123 - Selecting Year for Data of Birth: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> xpath: //select[@name='DateOfBirthYear']]
2021-12-14 17:12:492 INFO  RegisterPage :99 - Entering Email: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> id: Email]
2021-12-14 17:12:556 INFO  RegisterPage :128 - Selecting Year for Data of Birth: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> xpath: //select[@name='DateOfBirthYear']]
2021-12-14 17:12:606 INFO  RegisterPage :133 - Entering confirm password: Harry123
2021-12-14 17:12:877 INFO  RegisterPage :138 - Clicking on Register button: Proxy element for: DefaultElementLocator 'By.id: register-button'
2021-12-14 17:12:903 INFO  RegisterPage :169 - Verifying Registration completed message: [[ChromeDriver: chrome on WINDOWS (8fc56f705dc860c0419e1eab0cc39e84)] -> xpath: //div[contains(text(),'Your registration completed')]]
2021-12-14 18:12:52 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 18:12:13 INFO  ComputerPage :39 - Verifying Computer text: [[ChromeDriver: chrome on WINDOWS (c98d0245f71a5cf6df8476dbb3b10d8d)] -> xpath: //h1[contains(text(),'Computers')]]
2021-12-14 18:12:617 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-14 18:12:217 INFO  ComputerPage :39 - Verifying Computer text: [[ChromeDriver: chrome on WINDOWS (f359ca3ea368b89d459dba328a9890a7)] -> xpath: //h1[contains(text(),'Computers')]]
2021-12-14 18:12:172 INFO  ComputerPage :44 - Clicking on desktop link: [[ChromeDriver: chrome on WINDOWS (f359ca3ea368b89d459dba328a9890a7)] -> xpath: //img[@title='Show products in category Desktops']]
